Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Amoxivir,Antipyretic,Ointment,77 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Dolomet,Antiviral,Capsule,776 mg,AbbVie Inc.,Fungus,Prescription
Dolophen,Antipyretic,Capsule,280 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Dextrostatin,Antidiabetic,Injection,293 mg,Roche Holding AG,Virus,Over-the-Counter
Clarimet,Antiviral,Tablet,9 mg,Biogen Inc.,Pain,Prescription
Ibuprophen,Analgesic,Tablet,96 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Clarimet,Antiviral,Ointment,727 mg,AbbVie Inc.,Diabetes,Prescription
Ibupronazole,Antibiotic,Drops,472 mg,"Merck & Co., Inc.",Fever,Prescription
Clarivir,Antidepressant,Ointment,791 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Clarimycin,Antidepressant,Capsule,375 mg,Pfizer Inc.,Diabetes,Prescription
Acetocillin,Antidepressant,Inhaler,313 mg,Roche Holding AG,Fungus,Over-the-Counter
Dolomet,Antifungal,Inhaler,63 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Ibuproprofen,Antiseptic,Injection,830 mg,AstraZeneca plc,Depression,Prescription
Amoxiprofen,Antidepressant,Cream,579 mg,Johnson & Johnson,Fever,Prescription
Ibuprostatin,Antiviral,Cream,293 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Amoximycin,Antidepressant,Capsule,919 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Dextromet,Antidiabetic,Drops,24 mg,Bayer AG,Diabetes,Over-the-Counter
Dolostatin,Antidepressant,Syrup,602 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Cefcillin,Antibiotic,Injection,854 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetocillin,Antiviral,Syrup,32 mg,CSL Limited,Fever,Over-the-Counter
Cefvir,Analgesic,Tablet,812 mg,Johnson & Johnson,Wound,Over-the-Counter
Dextrophen,Antiseptic,Drops,421 mg,Eli Lilly and Company,Wound,Prescription
Acetovir,Analgesic,Syrup,847 mg,Roche Holding AG,Depression,Over-the-Counter
Clarinazole,Antidepressant,Syrup,449 mg,Pfizer Inc.,Fever,Prescription
Cefvir,Antiviral,Inhaler,424 mg,Roche Holding AG,Infection,Over-the-Counter
Dextromet,Antiseptic,Injection,508 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Acetophen,Antiseptic,Syrup,931 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Metoprofen,Antifungal,Ointment,582 mg,Amgen Inc.,Fungus,Prescription
Dolocillin,Antibiotic,Syrup,998 mg,Novartis AG,Infection,Prescription
Ibupromet,Antiviral,Drops,314 mg,Sanofi S.A.,Pain,Prescription
Cefvir,Antibiotic,Inhaler,918 mg,Bayer AG,Infection,Prescription
Metophen,Antipyretic,Ointment,599 mg,"Merck & Co., Inc.",Diabetes,Prescription
Dolomet,Analgesic,Inhaler,522 mg,Eli Lilly and Company,Fever,Prescription
Metophen,Antidiabetic,Capsule,331 mg,Johnson & Johnson,Fungus,Over-the-Counter
Ibuprostatin,Antibiotic,Tablet,159 mg,Roche Holding AG,Pain,Over-the-Counter
Ibuprophen,Antiseptic,Drops,164 mg,Eli Lilly and Company,Virus,Over-the-Counter
Acetocillin,Analgesic,Drops,145 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Clarivir,Antiseptic,Cream,528 mg,AstraZeneca plc,Fever,Over-the-Counter
Doloprofen,Antiviral,Injection,675 mg,Sanofi S.A.,Fever,Prescription
Dolomycin,Antidepressant,Ointment,973 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Cefphen,Antiseptic,Drops,467 mg,AbbVie Inc.,Wound,Prescription
Clarimet,Antiseptic,Drops,516 mg,Pfizer Inc.,Pain,Prescription
Acetomet,Antiseptic,Syrup,130 mg,GlaxoSmithKline plc,Depression,Prescription
Cefmet,Antibiotic,Syrup,469 mg,Pfizer Inc.,Wound,Over-the-Counter
Acetophen,Antibiotic,Syrup,933 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Acetoprofen,Antidepressant,Cream,721 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Amoxicillin,Antiviral,Drops,884 mg,Bayer AG,Fever,Prescription
Cefstatin,Analgesic,Inhaler,146 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Ibupronazole,Antidiabetic,Capsule,735 mg,Roche Holding AG,Fungus,Prescription
Cefmet,Antidepressant,Syrup,295 mg,Johnson & Johnson,Fever,Prescription
Claricillin,Antidiabetic,Ointment,157 mg,"Merck & Co., Inc.",Fungus,Prescription
Claricillin,Antidiabetic,Injection,554 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dolonazole,Antiviral,Ointment,7 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Claricillin,Antibiotic,Capsule,80 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Dolophen,Antiviral,Injection,110 mg,Eli Lilly and Company,Pain,Prescription
Metomycin,Antifungal,Syrup,597 mg,Bayer AG,Pain,Prescription
Clariphen,Antipyretic,Injection,543 mg,AstraZeneca plc,Fever,Prescription
Metostatin,Antiseptic,Cream,634 mg,AbbVie Inc.,Fever,Prescription
Dolocillin,Antifungal,Ointment,850 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Dolostatin,Antidiabetic,Inhaler,794 mg,Eli Lilly and Company,Depression,Prescription
Dolophen,Antibiotic,Injection,888 mg,Johnson & Johnson,Pain,Prescription
Claricillin,Antipyretic,Tablet,989 mg,Eli Lilly and Company,Virus,Prescription
Metomycin,Analgesic,Drops,990 mg,Novartis AG,Fungus,Prescription
Cefcillin,Analgesic,Injection,872 mg,"Gilead Sciences, Inc.",Wound,Prescription
Cefmet,Antiseptic,Syrup,979 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Clariprofen,Antidiabetic,Drops,344 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoxiprofen,Antiviral,Drops,899 mg,Biogen Inc.,Fungus,Prescription
Metonazole,Antiviral,Tablet,703 mg,Sanofi S.A.,Depression,Prescription
Clariprofen,Antipyretic,Injection,79 mg,Biogen Inc.,Pain,Prescription
Acetomet,Antibiotic,Tablet,372 mg,Bayer AG,Pain,Prescription
Claricillin,Antidepressant,Inhaler,640 mg,Roche Holding AG,Infection,Prescription
Amoxinazole,Antibiotic,Capsule,885 mg,Roche Holding AG,Fever,Prescription
Amoxistatin,Antibiotic,Syrup,678 mg,Novo Nordisk A/S,Virus,Prescription
Amoxiprofen,Antiseptic,Injection,46 mg,AstraZeneca plc,Depression,Prescription
Dextromycin,Antiseptic,Injection,692 mg,Roche Holding AG,Depression,Over-the-Counter
Dolocillin,Antipyretic,Drops,172 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Cefnazole,Analgesic,Drops,710 mg,AstraZeneca plc,Pain,Over-the-Counter
Dextrostatin,Antipyretic,Tablet,115 mg,Johnson & Johnson,Fungus,Over-the-Counter
Doloprofen,Analgesic,Cream,247 mg,Eli Lilly and Company,Fever,Prescription
Metonazole,Antidiabetic,Injection,582 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Amoxiphen,Analgesic,Syrup,229 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Dolonazole,Antidiabetic,Injection,451 mg,Novartis AG,Fungus,Over-the-Counter
Dolomycin,Antidepressant,Cream,30 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Cefprofen,Antifungal,Drops,171 mg,Biogen Inc.,Virus,Over-the-Counter
Dolomycin,Analgesic,Tablet,205 mg,Novartis AG,Infection,Over-the-Counter
Amoxicillin,Antipyretic,Cream,403 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Dolovir,Antipyretic,Syrup,550 mg,Novo Nordisk A/S,Fever,Prescription
Metomet,Antibiotic,Syrup,191 mg,AbbVie Inc.,Wound,Over-the-Counter
Dextronazole,Antiviral,Inhaler,518 mg,Roche Holding AG,Fever,Over-the-Counter
Amoxiprofen,Antidiabetic,Capsule,920 mg,"Gilead Sciences, Inc.",Infection,Prescription
Acetostatin,Antidepressant,Ointment,557 mg,"Gilead Sciences, Inc.",Pain,Prescription
Amoxivir,Antidiabetic,Drops,508 mg,Bayer AG,Diabetes,Prescription
Clariprofen,Antibiotic,Drops,102 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Dextronazole,Antidepressant,Syrup,595 mg,Pfizer Inc.,Fever,Prescription
Dolovir,Antiviral,Inhaler,507 mg,Sanofi S.A.,Fungus,Prescription
Metonazole,Antidepressant,Tablet,195 mg,Bayer AG,Fever,Over-the-Counter
Amoxivir,Antiviral,Ointment,383 mg,Roche Holding AG,Virus,Prescription
Amoxivir,Antiseptic,Syrup,135 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Ibuprostatin,Antifungal,Inhaler,491 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Dextronazole,Antiviral,Drops,199 mg,Eli Lilly and Company,Virus,Prescription
Amoxiprofen,Antidiabetic,Syrup,309 mg,AbbVie Inc.,Depression,Over-the-Counter
Amoximycin,Antidiabetic,Syrup,705 mg,Biogen Inc.,Fungus,Over-the-Counter
Dolophen,Antidepressant,Cream,1 mg,AstraZeneca plc,Diabetes,Prescription
Dextrovir,Antiviral,Capsule,88 mg,AbbVie Inc.,Virus,Prescription
Cefstatin,Antidepressant,Inhaler,157 mg,"Merck & Co., Inc.",Depression,Prescription
Dextronazole,Antiseptic,Ointment,331 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Dextronazole,Antibiotic,Drops,479 mg,Novartis AG,Depression,Prescription
Dextrostatin,Analgesic,Injection,995 mg,CSL Limited,Fungus,Over-the-Counter
Clarimet,Antidepressant,Drops,733 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Metomet,Antibiotic,Tablet,957 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Cefmet,Antifungal,Syrup,176 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Ibuprophen,Antidepressant,Cream,308 mg,Pfizer Inc.,Pain,Over-the-Counter
Metoprofen,Analgesic,Injection,846 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Dextrophen,Antibiotic,Cream,924 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Ibuprostatin,Antiseptic,Tablet,847 mg,Roche Holding AG,Pain,Over-the-Counter
Metomycin,Analgesic,Tablet,145 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Acetovir,Antidepressant,Cream,356 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Dextrovir,Antifungal,Ointment,95 mg,Novo Nordisk A/S,Virus,Prescription
Ibuproprofen,Antifungal,Drops,154 mg,Sanofi S.A.,Fungus,Prescription
Cefphen,Antipyretic,Syrup,626 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Amoxistatin,Antifungal,Injection,726 mg,Eli Lilly and Company,Fungus,Prescription
Acetophen,Antidiabetic,Tablet,409 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dextromet,Analgesic,Inhaler,795 mg,Pfizer Inc.,Pain,Over-the-Counter
Dextrostatin,Antidepressant,Injection,682 mg,AbbVie Inc.,Fungus,Over-the-Counter
Clarinazole,Antifungal,Inhaler,339 mg,"Merck & Co., Inc.",Infection,Prescription
Cefnazole,Analgesic,Inhaler,109 mg,Roche Holding AG,Fungus,Prescription
Metonazole,Antipyretic,Injection,717 mg,AbbVie Inc.,Virus,Prescription
Amoxiphen,Antibiotic,Injection,749 mg,AstraZeneca plc,Virus,Prescription
Dolonazole,Analgesic,Injection,922 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Cefmycin,Antiviral,Syrup,423 mg,CSL Limited,Fungus,Prescription
Dextroprofen,Analgesic,Syrup,691 mg,Bayer AG,Wound,Prescription
Amoxistatin,Antibiotic,Injection,942 mg,Eli Lilly and Company,Depression,Over-the-Counter
Acetocillin,Antibiotic,Cream,604 mg,Pfizer Inc.,Wound,Prescription
Ibupronazole,Antidiabetic,Inhaler,130 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Dolonazole,Antiviral,Inhaler,694 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Cefmycin,Antiviral,Syrup,609 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dolophen,Antidiabetic,Cream,183 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Ibuprovir,Antidiabetic,Injection,480 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Dextronazole,Analgesic,Syrup,483 mg,AbbVie Inc.,Virus,Prescription
Dextroprofen,Antiseptic,Drops,867 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Acetomycin,Antipyretic,Ointment,278 mg,CSL Limited,Wound,Prescription
Dextronazole,Antipyretic,Capsule,672 mg,Biogen Inc.,Infection,Over-the-Counter
Ibupromet,Analgesic,Injection,837 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Acetonazole,Antifungal,Syrup,193 mg,AstraZeneca plc,Fungus,Over-the-Counter
Dolomycin,Antidepressant,Syrup,534 mg,Roche Holding AG,Virus,Over-the-Counter
Acetostatin,Analgesic,Cream,790 mg,CSL Limited,Fever,Over-the-Counter
Clariprofen,Antiviral,Injection,952 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Amoxistatin,Antidepressant,Injection,572 mg,Bayer AG,Depression,Over-the-Counter
Amoximet,Antidepressant,Syrup,833 mg,Eli Lilly and Company,Wound,Over-the-Counter
Ibuprostatin,Antiseptic,Injection,371 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Clarinazole,Antiviral,Syrup,930 mg,Biogen Inc.,Pain,Over-the-Counter
Dolophen,Analgesic,Injection,221 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Doloprofen,Analgesic,Capsule,82 mg,AstraZeneca plc,Fungus,Over-the-Counter
Dolomet,Antiviral,Injection,269 mg,Biogen Inc.,Pain,Over-the-Counter
Acetophen,Antiseptic,Tablet,467 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Cefmet,Antiseptic,Cream,34 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Amoximycin,Antidiabetic,Syrup,33 mg,CSL Limited,Infection,Prescription
Ibuprocillin,Antidiabetic,Drops,479 mg,CSL Limited,Infection,Over-the-Counter
Cefvir,Antipyretic,Syrup,769 mg,Roche Holding AG,Infection,Prescription
Amoxicillin,Antifungal,Ointment,739 mg,Pfizer Inc.,Wound,Over-the-Counter
Dolomycin,Antifungal,Injection,390 mg,Pfizer Inc.,Infection,Over-the-Counter
Amoxiprofen,Antibiotic,Drops,611 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Cefvir,Antidiabetic,Injection,711 mg,Amgen Inc.,Depression,Over-the-Counter
Clarinazole,Antifungal,Ointment,107 mg,Sanofi S.A.,Fever,Prescription
Amoximet,Antidiabetic,Injection,73 mg,Novartis AG,Fever,Prescription
Metonazole,Antifungal,Tablet,84 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Metonazole,Analgesic,Syrup,15 mg,Roche Holding AG,Wound,Prescription
Clarivir,Antidepressant,Ointment,232 mg,Biogen Inc.,Virus,Prescription
Metonazole,Antidiabetic,Syrup,983 mg,Novartis AG,Fever,Over-the-Counter
Metomycin,Antiseptic,Tablet,256 mg,Amgen Inc.,Depression,Over-the-Counter
Amoxistatin,Analgesic,Inhaler,517 mg,Sanofi S.A.,Infection,Over-the-Counter
Acetonazole,Analgesic,Tablet,211 mg,Pfizer Inc.,Wound,Over-the-Counter
Claristatin,Antipyretic,Tablet,479 mg,Bristol-Myers Squibb Company,Depression,Prescription
Dolonazole,Antidiabetic,Syrup,442 mg,Bayer AG,Virus,Prescription
Acetocillin,Antiviral,Capsule,989 mg,AbbVie Inc.,Pain,Over-the-Counter
Metomet,Antiviral,Capsule,19 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Metomycin,Antiseptic,Inhaler,633 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Clarimet,Antibiotic,Tablet,496 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Amoxiprofen,Antiseptic,Ointment,78 mg,Eli Lilly and Company,Diabetes,Prescription
Ibupronazole,Antifungal,Cream,248 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Dolovir,Antipyretic,Drops,722 mg,Novartis AG,Pain,Over-the-Counter
Metonazole,Antiviral,Tablet,882 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Metoprofen,Antifungal,Ointment,374 mg,"Merck & Co., Inc.",Diabetes,Prescription
Amoxinazole,Antifungal,Drops,418 mg,Roche Holding AG,Fungus,Over-the-Counter
Acetonazole,Antifungal,Syrup,509 mg,AstraZeneca plc,Infection,Over-the-Counter
Acetomet,Antidiabetic,Drops,907 mg,GlaxoSmithKline plc,Pain,Prescription
Clariprofen,Antifungal,Cream,568 mg,Biogen Inc.,Wound,Over-the-Counter
Dextrostatin,Antidepressant,Syrup,808 mg,"Merck & Co., Inc.",Infection,Prescription
Cefvir,Analgesic,Capsule,970 mg,Eli Lilly and Company,Pain,Prescription
Ibuprophen,Antiviral,Syrup,358 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Clariphen,Antipyretic,Cream,98 mg,Amgen Inc.,Fungus,Over-the-Counter
Metomet,Antidiabetic,Syrup,606 mg,AstraZeneca plc,Virus,Prescription
Acetomycin,Antifungal,Syrup,971 mg,Biogen Inc.,Diabetes,Over-the-Counter
Ibuprovir,Antidepressant,Injection,984 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Claricillin,Analgesic,Ointment,321 mg,Sanofi S.A.,Virus,Prescription
Cefmet,Antidepressant,Cream,838 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dolovir,Antidiabetic,Cream,635 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Clarimycin,Antidepressant,Cream,693 mg,CSL Limited,Wound,Over-the-Counter
Metocillin,Antibiotic,Syrup,38 mg,CSL Limited,Infection,Over-the-Counter
Doloprofen,Antidepressant,Inhaler,81 mg,AstraZeneca plc,Fungus,Prescription
Clarimycin,Antidiabetic,Ointment,836 mg,AbbVie Inc.,Diabetes,Prescription
Ibupronazole,Antidepressant,Injection,412 mg,Johnson & Johnson,Infection,Prescription
Dolomet,Antidiabetic,Syrup,633 mg,Pfizer Inc.,Depression,Prescription
Clarimycin,Antibiotic,Drops,916 mg,Eli Lilly and Company,Virus,Over-the-Counter
Acetoprofen,Antipyretic,Capsule,57 mg,GlaxoSmithKline plc,Fever,Prescription
Cefcillin,Antifungal,Capsule,589 mg,Roche Holding AG,Wound,Prescription
Claristatin,Antipyretic,Drops,68 mg,AstraZeneca plc,Fungus,Prescription
Acetovir,Antidiabetic,Cream,724 mg,AbbVie Inc.,Pain,Prescription
Acetocillin,Antidiabetic,Drops,50 mg,CSL Limited,Infection,Over-the-Counter
Cefphen,Analgesic,Inhaler,719 mg,Roche Holding AG,Fever,Over-the-Counter
Ibuprophen,Antiviral,Drops,559 mg,Amgen Inc.,Wound,Over-the-Counter
Cefnazole,Antidepressant,Inhaler,681 mg,Amgen Inc.,Depression,Over-the-Counter
Dextroprofen,Antiviral,Tablet,482 mg,Amgen Inc.,Infection,Prescription
Ibupronazole,Analgesic,Inhaler,430 mg,Johnson & Johnson,Depression,Prescription
Amoxivir,Antidepressant,Syrup,4 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Dolomet,Antibiotic,Tablet,502 mg,AbbVie Inc.,Wound,Prescription
Dolostatin,Antifungal,Injection,941 mg,Bayer AG,Infection,Over-the-Counter
Acetostatin,Antipyretic,Syrup,434 mg,Johnson & Johnson,Depression,Prescription
Acetoprofen,Antiviral,Cream,457 mg,Amgen Inc.,Fungus,Over-the-Counter
Ibupromycin,Antipyretic,Inhaler,831 mg,Pfizer Inc.,Infection,Over-the-Counter
Dextromycin,Antifungal,Capsule,56 mg,Biogen Inc.,Depression,Over-the-Counter
Dextrocillin,Antibiotic,Drops,275 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Clarinazole,Antidiabetic,Injection,422 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Acetophen,Antidepressant,Injection,332 mg,Eli Lilly and Company,Virus,Prescription
Clariphen,Antibiotic,Inhaler,980 mg,Bristol-Myers Squibb Company,Fever,Prescription
Clarivir,Analgesic,Capsule,577 mg,Amgen Inc.,Pain,Prescription
Metophen,Antiviral,Cream,108 mg,Roche Holding AG,Pain,Over-the-Counter
Doloprofen,Antiviral,Injection,754 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Metophen,Antipyretic,Cream,531 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Acetovir,Antipyretic,Capsule,685 mg,Bayer AG,Fungus,Over-the-Counter
Dextronazole,Antiviral,Inhaler,520 mg,Pfizer Inc.,Wound,Over-the-Counter
Metovir,Antidiabetic,Injection,24 mg,Johnson & Johnson,Pain,Prescription
Acetovir,Antidiabetic,Inhaler,534 mg,Eli Lilly and Company,Fungus,Prescription
Acetophen,Antidiabetic,Syrup,720 mg,Eli Lilly and Company,Fever,Prescription
Amoxiprofen,Antidiabetic,Injection,717 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Ibuprovir,Antibiotic,Ointment,387 mg,AbbVie Inc.,Fever,Over-the-Counter
Acetonazole,Antidiabetic,Cream,547 mg,Johnson & Johnson,Wound,Over-the-Counter
Acetomycin,Antifungal,Drops,354 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Cefphen,Antibiotic,Syrup,433 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dextroprofen,Antidepressant,Syrup,223 mg,Amgen Inc.,Fever,Prescription
Acetoprofen,Antiseptic,Inhaler,206 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Dextroprofen,Analgesic,Tablet,36 mg,Biogen Inc.,Diabetes,Prescription
Cefstatin,Antipyretic,Drops,894 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dextroprofen,Antiseptic,Capsule,339 mg,Novo Nordisk A/S,Wound,Prescription
Ibuprostatin,Antidiabetic,Cream,439 mg,Novartis AG,Depression,Over-the-Counter
Acetostatin,Antibiotic,Syrup,740 mg,Novartis AG,Virus,Prescription
Dolocillin,Analgesic,Injection,591 mg,Bristol-Myers Squibb Company,Depression,Prescription
Clariphen,Antiviral,Drops,687 mg,GlaxoSmithKline plc,Depression,Prescription
Amoximet,Antidepressant,Tablet,602 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Amoxistatin,Antidiabetic,Syrup,555 mg,Sanofi S.A.,Infection,Prescription
Acetocillin,Antidiabetic,Injection,642 mg,AbbVie Inc.,Virus,Prescription
Cefprofen,Antidiabetic,Ointment,85 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Acetoprofen,Antidiabetic,Syrup,521 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Acetonazole,Antipyretic,Tablet,570 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Cefvir,Antiseptic,Injection,419 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Clarimet,Antiviral,Tablet,931 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Amoxistatin,Antibiotic,Inhaler,832 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Clarimycin,Analgesic,Ointment,196 mg,"Gilead Sciences, Inc.",Virus,Prescription
Clarimet,Antibiotic,Syrup,104 mg,Bayer AG,Diabetes,Over-the-Counter
Dolophen,Antiseptic,Drops,865 mg,Bristol-Myers Squibb Company,Virus,Prescription
Acetocillin,Antipyretic,Drops,761 mg,Biogen Inc.,Wound,Prescription
Acetocillin,Antifungal,Syrup,533 mg,Eli Lilly and Company,Wound,Prescription
Ibuprophen,Antidiabetic,Tablet,320 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Cefphen,Antidiabetic,Inhaler,33 mg,Novartis AG,Fungus,Prescription
Acetostatin,Antiseptic,Cream,827 mg,Novartis AG,Virus,Over-the-Counter
Ibuprophen,Antibiotic,Cream,356 mg,AstraZeneca plc,Diabetes,Prescription
Claricillin,Antifungal,Syrup,952 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Acetostatin,Antiseptic,Drops,769 mg,Biogen Inc.,Virus,Over-the-Counter
Dextromycin,Antidepressant,Ointment,359 mg,CSL Limited,Pain,Prescription
Amoximycin,Analgesic,Capsule,64 mg,Sanofi S.A.,Fungus,Prescription
Dextromet,Antidiabetic,Inhaler,926 mg,"Gilead Sciences, Inc.",Virus,Prescription
Metocillin,Antidepressant,Injection,754 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Metomycin,Antiseptic,Ointment,428 mg,Biogen Inc.,Fungus,Prescription
Cefvir,Antipyretic,Tablet,806 mg,Pfizer Inc.,Pain,Over-the-Counter
Dolonazole,Antifungal,Injection,855 mg,GlaxoSmithKline plc,Wound,Prescription
Metophen,Antifungal,Cream,581 mg,AbbVie Inc.,Fever,Prescription
Clarimycin,Antipyretic,Ointment,853 mg,"Merck & Co., Inc.",Fungus,Prescription
Dolomet,Antidepressant,Ointment,203 mg,Bayer AG,Virus,Prescription
Amoximycin,Antifungal,Ointment,632 mg,Bayer AG,Depression,Over-the-Counter
Dolovir,Antipyretic,Inhaler,697 mg,Amgen Inc.,Pain,Over-the-Counter
Dolocillin,Antibiotic,Syrup,529 mg,"Gilead Sciences, Inc.",Fever,Prescription
Cefstatin,Antidepressant,Drops,356 mg,Pfizer Inc.,Diabetes,Prescription
Claricillin,Antidepressant,Ointment,250 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetonazole,Antidiabetic,Injection,12 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Clarimycin,Analgesic,Drops,336 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Clarimycin,Antiviral,Cream,187 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Ibupromet,Antidiabetic,Tablet,619 mg,CSL Limited,Virus,Over-the-Counter
Dextrophen,Antiseptic,Tablet,798 mg,Eli Lilly and Company,Virus,Over-the-Counter
Clariprofen,Antidiabetic,Cream,780 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Amoximet,Antiviral,Tablet,818 mg,GlaxoSmithKline plc,Infection,Prescription
Amoxiprofen,Antipyretic,Injection,46 mg,Bristol-Myers Squibb Company,Infection,Prescription
Cefnazole,Antifungal,Inhaler,2 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Amoxinazole,Antiviral,Tablet,967 mg,Biogen Inc.,Infection,Over-the-Counter
Clarimycin,Antidiabetic,Injection,958 mg,Pfizer Inc.,Diabetes,Prescription
Ibupromycin,Analgesic,Injection,578 mg,AbbVie Inc.,Wound,Over-the-Counter
Amoxicillin,Antidepressant,Ointment,115 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Dolocillin,Antifungal,Tablet,426 mg,Biogen Inc.,Fungus,Prescription
Clarivir,Antipyretic,Syrup,372 mg,Bayer AG,Pain,Over-the-Counter
Metoprofen,Antibiotic,Tablet,820 mg,AstraZeneca plc,Diabetes,Prescription
Ibupromycin,Analgesic,Cream,718 mg,CSL Limited,Fever,Over-the-Counter
Clariprofen,Antidiabetic,Tablet,331 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Metovir,Antifungal,Inhaler,524 mg,Roche Holding AG,Depression,Prescription
